gene	PC1	PC2	PC3	PC4
CHRNA5	0.0050069654	-0.012139044	0.012075187	0.020568125
CHST1	0.027268375	-0.0085030906	0.013630362	-0.012151041
CHST2	0.020339936	0.021643872	-0.0079514688	0.013718435
CILP	0.014836934	0.013870015	0.0056258383	0.014364526
CIT	-0.0023487039	-0.02731499	0.053402173	0.011748879
CITED1	0.016233444	0.0012450928	0.0063197392	-0.0098176198
CITED2	-0.01779407	0.013421054	0.049093666	-0.027955776
CITED4	0.010993346	0.0082932582	-0.021870403	0.010061509
CKS2	-0.020066371	0.0019646007	-0.021969923	-0.022184109
CLCA2	0.01208759	0.0012774511	-0.029072112	0.011685912
CLDN1	-0.021966694	-0.011982143	-0.037140557	0.010371593
CLDN10	0.010762235	-0.019711664	0.021596419	0.039596838
CLDN11	0.043075224	0.0061688549	-0.0034412281	0.0020555094
CLDN18	0.017595609	-0.0042098384	0.0075682746	0.010986927
CLDN2	0.014363967	0.0074381716	0.022445308	0.020212026
CLDN3	-0.034968987	-0.027133289	0.066375454	0.0090063199
CLDN6	0.010824799	0.0063457057	0.010873006	0.012634877
CLDN8	0.015300682	0.001670012	-0.0005268042	0.01730822
CLDND1	0.012321512	-0.0086785243	-0.023238122	-0.021108217
CLEC12B	0.015548071	0.0050745195	0.0058529258	0.0080571095
CLEC2B	0.00249746	0.038055609	0.0085634472	-0.050867245
CLEC3A	0.020327962	0.0052227014	0.0019787816	0.011258642
CLEC3B	0.017773614	0.013953154	0.023341945	0.015823049
CLEC4E	0.017250937	0.019559118	0.0072400654	0.01314956
CLEC7A	0.012811189	0.029503556	-0.0058074819	-0.007160572
CLIC2	-6.105389e-05	0.0096634563	0.028036379	-0.031757194
CLIC5	0.011988345	0.01697185	0.0088767572	0.0075853407
CLIP3	0.047892506	-0.01455033	-0.0041371699	-0.021229601
CLMP	0.0087165313	0.015034877	-0.0042035297	0.030718911
CLRN2	0.011733429	0.012537915	0.010111044	0.014171804
CLSTN2	0.030635749	-0.0059729762	-0.0063473464	-0.00094320366
CLTRN	0.0085461905	-0.0062560449	0.031252832	-0.0021588815
CLU	0.076000131	-0.05542345	-0.031839507	0.0068235218
CMBL	-0.007938499	-0.013169413	-0.0081616151	0.0056883075
CNDP1	0.03158516	-0.0066556426	-0.0023751858	0.0082332917
CNFN	0.0051875493	-0.0033299224	-0.0024184454	0.009494149
CNGA3	0.011877025	-0.0080053206	0.027757408	0.02110716
CNIH2	0.031261727	-0.020354091	-0.0064445207	-0.0056827527
CNKSR2	0.036045265	-0.012437783	-0.0063670203	-0.00080189183
CNMD	0.015437693	0.0028335156	0.023899183	0.025421469
CNN1	0.018845836	0.02049688	0.0041955152	0.010773691
CNP	0.012320154	-0.032243517	-0.007770482	-0.01605388
CNR1	0.027011489	-0.0039234589	0.0031037189	0.0077647522
CNRIP1	0.035472565	0.0023774396	0.0018636223	0.00061288346
CNTN1	0.038692879	-0.036249064	-0.025743968	0.0010597199
CNTN2	0.03102571	-0.0078906848	0.0039669176	-0.00030263023
CNTNAP1	0.033844254	-0.0091368253	0.00020762401	-0.010319134
CNTNAP2	0.030609901	-0.0085066268	0.0040426111	0.0055481584
COBLL1	-0.0048618603	0.0080781594	-0.0003883977	0.014337858
COL10A1	0.018484246	0.027123973	0.0063180817	0.0087915451
COL11A1	0.026361099	0.045697289	-0.0047734572	0.0012618607
COL12A1	0.016472719	0.040997013	-0.0095874948	0.00029205592
COL15A1	0.020923736	0.036057712	0.00097759699	0.01342727
