compartment	gene	patient_id	lung	brain	delta_brain_minus_lung	detected_lung	detected_brain
immune	VSIR	P15	6.9248125036057813	7.2615308152434057	0.33671831163762445	True	True
immune	VSIR	P19	6.8541203560878152	7.3891365546717998	0.53501619858398453	True	True
immune	VSIR	P35	6.2197493545467255	6.7945458330220454	0.57479647847531989	False	True
immune	VSIR	P5	7.4343780276116638	7.5164091860198221	0.082031158408158333	True	True
tumour	CD274	P1	7.2465981030571154	7.2514350695632297	0.0048369665061143152	True	True
tumour	CD274	P12	6.1358631653686793	5.8145504234618084	-0.32131274190687087	True	True
tumour	CD274	P13	5.7761039880731646	5.7139706924360532	-0.062133295637111452	False	False
tumour	CD274	P14	6.2962738467067192	6.1208081022986214	-0.17546574440809781	False	True
tumour	CD274	P15	6.3375327063424818	5.4776773275653072	-0.85985537877717455	True	False
tumour	CD274	P16	6.5945485495503542	7.348462603098465	0.75391405354811081	True	True
tumour	CD274	P17	6.6888797114732226	5.9112122015586124	-0.7776675099146102	True	False
tumour	CD274	P18	5.9697030880135395	6.673132372145357	0.70342928413181749	False	True
tumour	CD274	P19	5.7826706586770067	5.8472453071418116	0.064574648464804874	True	False
tumour	CD274	P2	5.6395215995108332	5.3971184090425819	-0.24240319046825132	False	True
tumour	CD274	P20	6.0593985439734217	7.1264979900833003	1.0670994461098786	True	True
tumour	CD274	P21	6.1354527841851727	4.9297909977185972	-1.2056617864665755	True	False
tumour	CD274	P24	5.3912865581111848	7.4100696917563802	2.0187831336451953	False	True
tumour	CD274	P3	6.3410962379576423	6.1550205783585747	-0.18607565959906758	True	False
tumour	CD274	P34	6.1534000277350609	5.5251292512039729	-0.62827077653108798	False	False
tumour	CD274	P35	6.2925977202664525	6.524189078449365	0.23159135818291254	False	True
tumour	CD274	P37	6.3085210621932593	6.3267889924919407	0.018267930298681456	True	False
tumour	CD274	P4	6.8294690521170756	7.6104343153423351	0.7809652632252595	True	True
tumour	CD274	P40	6.476867688933087	8.1433321893902324	1.6664645004571454	True	True
tumour	CD274	P44	6.1914047288527643	6.0624239690744366	-0.12898075977832768	False	False
tumour	CD274	P5	5.9186247555745908	5.8432301504965451	-0.075394605078045629	True	True
tumour	CD274	P7	6.9983083503542867	6.0978214551711334	-0.90048689518315328	True	True
tumour	CD274	P9	7.1560324988888659	7.4604968522943915	0.30446435340552558	True	True
tumour	CD276	P1	7.4567240262738048	7.6796208433756998	0.22289681710189502	True	True
tumour	CD276	P12	6.010108453474289	6.992541859109112	0.98243340563482295	True	True
tumour	CD276	P13	7.5040641802805492	7.3481970030779138	-0.15586717720263543	True	True
tumour	CD276	P14	7.146695948030656	7.2304528190441903	0.083756871013534351	True	True
tumour	CD276	P15	7.3948056422653199	7.3182264440768385	-0.076579198188481357	True	True
